,SourceAirport,DestinationAirport,Distance,FlyTime,Price
0,Sabiha Gökçen International Airport,Imam Khomeini International Airport,1998.5413333328268,2.982660041407238,969.2706666664134
2,Atatürk International Airport,Imam Khomeini International Airport,2040.9788105605924,3.035377404423096,990.4894052802962
3,Dubai International Airport,Imam Khomeini International Airport,1199.863567129553,1.9905137479870223,569.9317835647765
4,Abu Dhabi International Airport,Imam Khomeini International Airport,1266.6814529891146,2.073517332905732,603.3407264945573
5,Sharjah International Airport,Imam Khomeini International Airport,1196.9021466325523,1.9868349647609345,568.4510733162762
6,Hamad International Airport,Imam Khomeini International Airport,1128.6985039169483,1.9021099427539732,534.3492519584743
9,Esenboğa International Airport,Imam Khomeini International Airport,1676.121317120518,2.582138282137289,808.060658560259
16,Adnan Menderes International Airport,Atatürk International Airport,330.5162311808217,0.9105791691687226,135.25811559041085
17,Chicago O'Hare International Airport,Atatürk International Airport,8813.934347917042,11.44898676759881,4376.967173958521
18,Los Angeles International Airport,Atatürk International Airport,11034.23527495448,14.207124565160845,5487.117637477239
19,Dubai International Airport,Atatürk International Airport,3008.3631780961928,4.237097115647444,1474.1815890480964
20,John F Kennedy International Airport,Atatürk International Airport,8051.744239939527,10.502166757688853,3995.8721199697634
21,Antalya International Airport,Atatürk International Airport,484.8747149242695,1.1023288384152417,212.43735746213477
22,Imam Khomeini International Airport,Atatürk International Airport,2040.9788105605924,3.035377404423096,990.4894052802962
23,Adana Airport,Atatürk International Airport,713.5609485190352,1.3864111161727144,326.7804742595176
25,Milas Bodrum International Airport,Atatürk International Airport,426.052658564099,1.0292579609491912,183.0263292820495
26,Diyarbakir Airport,Atatürk International Airport,1035.2669017167434,1.7860458406419173,487.6334508583717
27,Dalaman International Airport,Atatürk International Airport,474.116515733903,1.088964615818513,207.0582578669515
28,Erzurum International Airport,Atatürk International Airport,1050.47148473393,1.8049335214086089,495.235742366965
29,Elazığ Airport,Atatürk International Airport,932.4374713516364,1.6583074178281196,436.21873567581815
30,Şanlıurfa GAP Airport,Atatürk International Airport,952.3878746934328,1.6830905275694816,446.1939373467164
31,Gaziantep International Airport,Atatürk International Airport,872.2555364415113,1.5835472502379022,406.1277682207556
32,Malatya Tulga Airport,Atatürk International Airport,858.4543073668066,1.5664028662941696,399.2271536834033
33,Trabzon International Airport,Atatürk International Airport,920.6198404241364,1.64362713096166,430.3099202120682
34,Abu Dhabi International Airport,Atatürk International Airport,3017.838350536665,4.248867516194616,1478.9191752683328
35,Hamad International Airport,Atatürk International Airport,2733.5143497506883,3.895669999690296,1336.7571748753442
36,Lester B. Pearson International Airport,Atatürk International Airport,8198.837510102026,10.684891316896929,4069.418755051013
37,Washington Dulles International Airport,Atatürk International Airport,8413.018879422594,10.950955129717508,4176.509439711297
38,George Bush Intercontinental Houston Airport,Atatürk International Airport,10258.78345528126,13.24383037923138,5099.39172764063
39,Esfahan Shahid Beheshti International Airport,Atatürk International Airport,2236.1578373031134,3.2778358227367868,1088.0789186515567
40,Shahid Ashrafi Esfahani Airport,Atatürk International Airport,1770.435975658081,2.699299348643579,855.2179878290405
41,Mashhad International Airport,Atatürk International Airport,2715.2787996007464,3.873017142361176,1327.6393998003732
42,Shiraz Shahid Dastghaib International Airport,Atatürk International Airport,2493.247412561752,3.5972017547350954,1216.623706280876
43,Tabriz International Airport,Atatürk International Airport,1523.8305021629171,2.3929571455439964,731.9152510814586
